province,last_updated,data » date,data » change_cases,data » change_fatalities,data » change_tests,data » change_hospitalizations,data » change_criticals,data » change_recoveries,data » change_vaccinations,data » change_vaccinated,data » change_boosters_1,data » change_boosters_2,data » change_vaccines_distributed,data » total_cases,data » total_fatalities,data » total_tests,data » total_hospitalizations,data » total_criticals,data » total_recoveries,data » total_vaccinations,data » total_vaccinated,data » total_boosters_1,data » total_boosters_2,data » total_vaccines_distributed
yt,2022-08-15 16:51:21,2020-01-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2020-01-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2020-01-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2020-01-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2020-01-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2020-01-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2020-01-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2020-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2020-02-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2020-02-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2020-02-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2020-02-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2020-02-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2020-02-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2020-02-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2020-02-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2020-02-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2020-02-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2020-02-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2020-02-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2020-02-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2020-02-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2020-02-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2020-02-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2020-02-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2020-02-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2020-02-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2020-02-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2020-02-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2020-02-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2020-02-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2020-02-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2020-02-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2020-02-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2020-02-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2020-02-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2020-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2020-03-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2020-03-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2020-03-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2020-03-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2020-03-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2020-03-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2020-03-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2020-03-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2020-03-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2020-03-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2020-03-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2020-03-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2020-03-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2020-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2020-03-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2020-03-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2020-03-18,0,0,101,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0
,,2020-03-19,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0
,,2020-03-20,0,0,145,0,0,0,0,0,0,0,0,0,0,246,0,0,0,0,0,0,0,0
,,2020-03-21,0,0,0,0,0,0,0,0,0,0,0,0,0,246,0,0,0,0,0,0,0,0
,,2020-03-22,2,0,0,0,0,0,0,0,0,0,0,2,0,246,0,0,0,0,0,0,0,0
,,2020-03-23,0,0,0,0,0,0,0,0,0,0,0,2,0,246,0,0,0,0,0,0,0,0
,,2020-03-24,0,0,0,0,0,0,0,0,0,0,0,2,0,246,0,0,0,0,0,0,0,0
,,2020-03-25,1,0,169,0,0,0,0,0,0,0,0,3,0,415,0,0,0,0,0,0,0,0
,,2020-03-26,0,0,0,0,0,0,0,0,0,0,0,3,0,415,0,0,0,0,0,0,0,0
,,2020-03-27,1,0,145,0,0,0,0,0,0,0,0,4,0,560,0,0,0,0,0,0,0,0
,,2020-03-28,0,0,0,0,0,0,0,0,0,0,0,4,0,560,0,0,0,0,0,0,0,0
,,2020-03-29,0,0,0,0,0,0,0,0,0,0,0,4,0,560,0,0,0,0,0,0,0,0
,,2020-03-30,1,0,0,0,0,0,0,0,0,0,0,5,0,560,0,0,0,0,0,0,0,0
,,2020-03-31,0,0,38,0,0,0,0,0,0,0,0,5,0,598,0,0,0,0,0,0,0,0
,,2020-04-01,1,0,98,0,0,3,0,0,0,0,0,6,0,696,0,0,3,0,0,0,0,0
,,2020-04-02,0,0,0,0,0,0,0,0,0,0,0,6,0,696,0,0,3,0,0,0,0,0
,,2020-04-03,0,0,4,0,0,1,0,0,0,0,0,6,0,700,0,0,4,0,0,0,0,0
,,2020-04-04,0,0,0,0,0,0,0,0,0,0,0,6,0,700,0,0,4,0,0,0,0,0
,,2020-04-05,0,0,0,0,0,0,0,0,0,0,0,6,0,700,0,0,4,0,0,0,0,0
,,2020-04-06,1,0,47,0,0,0,0,0,0,0,0,7,0,747,0,0,4,0,0,0,0,0
,,2020-04-07,0,0,0,0,0,0,0,0,0,0,0,7,0,747,0,0,4,0,0,0,0,0
,,2020-04-08,1,0,28,0,0,0,0,0,0,0,0,8,0,775,0,0,4,0,0,0,0,0
,,2020-04-09,0,0,0,0,0,0,0,0,0,0,0,8,0,775,0,0,4,0,0,0,0,0
,,2020-04-10,0,0,0,0,0,0,0,0,0,0,0,8,0,775,0,0,4,0,0,0,0,0
,,2020-04-11,0,0,0,0,0,0,0,0,0,0,0,8,0,775,0,0,4,0,0,0,0,0
,,2020-04-12,0,0,0,0,0,0,0,0,0,0,0,8,0,775,0,0,4,0,0,0,0,0
,,2020-04-13,0,0,0,0,0,0,0,0,0,0,0,8,0,775,0,0,4,0,0,0,0,0
,,2020-04-14,0,0,57,0,0,2,0,0,0,0,0,8,0,832,0,0,6,0,0,0,0,0
,,2020-04-15,0,0,9,0,0,0,0,0,0,0,0,8,0,841,0,0,6,0,0,0,0,0
,,2020-04-16,0,0,0,0,0,0,0,0,0,0,0,8,0,841,0,0,6,0,0,0,0,0
,,2020-04-17,1,0,0,0,0,0,0,0,0,0,0,9,0,841,0,0,6,0,0,0,0,0
,,2020-04-18,0,0,18,0,0,2,0,0,0,0,0,9,0,859,0,0,8,0,0,0,0,0
,,2020-04-19,0,0,19,0,0,0,0,0,0,0,0,9,0,878,0,0,8,0,0,0,0,0
,,2020-04-20,2,0,0,0,0,0,0,0,0,0,0,11,0,878,0,0,8,0,0,0,0,0
,,2020-04-21,0,0,0,0,0,0,0,0,0,0,0,11,0,878,0,0,8,0,0,0,0,0
,,2020-04-22,0,0,0,0,0,0,0,0,0,0,0,11,0,878,0,0,8,0,0,0,0,0
,,2020-04-23,0,0,3,0,0,0,0,0,0,0,0,11,0,881,0,0,8,0,0,0,0,0
,,2020-04-24,0,0,7,0,0,0,0,0,0,0,0,11,0,888,0,0,8,0,0,0,0,0
,,2020-04-25,0,0,6,0,0,0,0,0,0,0,0,11,0,894,0,0,8,0,0,0,0,0
,,2020-04-26,0,0,14,0,0,0,0,0,0,0,0,11,0,908,0,0,8,0,0,0,0,0
,,2020-04-27,0,0,11,0,0,0,0,0,0,0,0,11,0,919,0,0,8,0,0,0,0,0
,,2020-04-28,0,0,34,0,0,0,0,0,0,0,0,11,0,953,0,0,8,0,0,0,0,0
,,2020-04-29,0,0,20,0,0,0,0,0,0,0,0,11,0,973,0,0,8,0,0,0,0,0
,,2020-04-30,0,0,11,0,0,1,0,0,0,0,0,11,0,984,0,0,9,0,0,0,0,0
,,2020-05-01,0,0,15,0,0,2,0,0,0,0,0,11,0,999,0,0,11,0,0,0,0,0
,,2020-05-02,0,0,20,0,0,0,0,0,0,0,0,11,0,1019,0,0,11,0,0,0,0,0
,,2020-05-03,0,0,4,0,0,0,0,0,0,0,0,11,0,1023,0,0,11,0,0,0,0,0
,,2020-05-04,0,0,5,0,0,0,0,0,0,0,0,11,0,1028,0,0,11,0,0,0,0,0
,,2020-05-05,0,0,13,0,0,0,0,0,0,0,0,11,0,1041,0,0,11,0,0,0,0,0
,,2020-05-06,0,0,13,0,0,0,0,0,0,0,0,11,0,1054,0,0,11,0,0,0,0,0
,,2020-05-07,0,0,11,0,0,0,0,0,0,0,0,11,0,1065,0,0,11,0,0,0,0,0
,,2020-05-08,0,0,0,0,0,0,0,0,0,0,0,11,0,1065,0,0,11,0,0,0,0,0
,,2020-05-09,0,0,17,0,0,0,0,0,0,0,0,11,0,1082,0,0,11,0,0,0,0,0
,,2020-05-10,0,0,6,0,0,0,0,0,0,0,0,11,0,1088,0,0,11,0,0,0,0,0
,,2020-05-11,0,0,6,0,0,0,0,0,0,0,0,11,0,1094,0,0,11,0,0,0,0,0
,,2020-05-12,0,0,12,0,0,0,0,0,0,0,0,11,0,1106,0,0,11,0,0,0,0,0
,,2020-05-13,0,0,6,0,0,0,0,0,0,0,0,11,0,1112,0,0,11,0,0,0,0,0
,,2020-05-14,0,0,7,0,0,0,0,0,0,0,0,11,0,1119,0,0,11,0,0,0,0,0
,,2020-05-15,0,0,5,0,0,0,0,0,0,0,0,11,0,1124,0,0,11,0,0,0,0,0
,,2020-05-16,0,0,0,0,0,0,0,0,0,0,0,11,0,1124,0,0,11,0,0,0,0,0
,,2020-05-17,0,0,0,0,0,0,0,0,0,0,0,11,0,1124,0,0,11,0,0,0,0,0
,,2020-05-18,0,0,0,0,0,0,0,0,0,0,0,11,0,1124,0,0,11,0,0,0,0,0
,,2020-05-19,0,0,10,0,0,0,0,0,0,0,0,11,0,1134,0,0,11,0,0,0,0,0
,,2020-05-20,0,0,7,0,0,0,0,0,0,0,0,11,0,1141,0,0,11,0,0,0,0,0
,,2020-05-21,0,0,1,0,0,0,0,0,0,0,0,11,0,1142,0,0,11,0,0,0,0,0
,,2020-05-22,0,0,3,0,0,0,0,0,0,0,0,11,0,1145,0,0,11,0,0,0,0,0
,,2020-05-23,0,0,0,0,0,0,0,0,0,0,0,11,0,1145,0,0,11,0,0,0,0,0
,,2020-05-24,0,0,0,0,0,0,0,0,0,0,0,11,0,1145,0,0,11,0,0,0,0,0
,,2020-05-25,0,0,9,0,0,0,0,0,0,0,0,11,0,1154,0,0,11,0,0,0,0,0
,,2020-05-26,0,0,5,0,0,0,0,0,0,0,0,11,0,1159,0,0,11,0,0,0,0,0
,,2020-05-27,0,0,4,0,0,0,0,0,0,0,0,11,0,1163,0,0,11,0,0,0,0,0
,,2020-05-28,0,0,9,0,0,0,0,0,0,0,0,11,0,1172,0,0,11,0,0,0,0,0
,,2020-05-29,0,0,4,0,0,0,0,0,0,0,0,11,0,1176,0,0,11,0,0,0,0,0
,,2020-05-30,0,0,0,0,0,0,0,0,0,0,0,11,0,1176,0,0,11,0,0,0,0,0
,,2020-05-31,0,0,0,0,0,0,0,0,0,0,0,11,0,1176,0,0,11,0,0,0,0,0
,,2020-06-01,0,0,10,0,0,0,0,0,0,0,0,11,0,1186,0,0,11,0,0,0,0,0
,,2020-06-02,0,0,6,0,0,0,0,0,0,0,0,11,0,1192,0,0,11,0,0,0,0,0
,,2020-06-03,0,0,4,0,0,0,0,0,0,0,0,11,0,1196,0,0,11,0,0,0,0,0
,,2020-06-04,0,0,5,0,0,0,0,0,0,0,0,11,0,1201,0,0,11,0,0,0,0,0
,,2020-06-05,0,0,0,0,0,0,0,0,0,0,0,11,0,1201,0,0,11,0,0,0,0,0
,,2020-06-06,0,0,0,0,0,0,0,0,0,0,0,11,0,1201,0,0,11,0,0,0,0,0
,,2020-06-07,0,0,0,0,0,0,0,0,0,0,0,11,0,1201,0,0,11,0,0,0,0,0
,,2020-06-08,0,0,13,0,0,0,0,0,0,0,0,11,0,1214,0,0,11,0,0,0,0,0
,,2020-06-09,0,0,5,0,0,0,0,0,0,0,0,11,0,1219,0,0,11,0,0,0,0,0
,,2020-06-10,0,0,9,0,0,0,0,0,0,0,0,11,0,1228,0,0,11,0,0,0,0,0
,,2020-06-11,0,0,4,0,0,0,0,0,0,0,0,11,0,1232,0,0,11,0,0,0,0,0
,,2020-06-12,0,0,3,0,0,0,0,0,0,0,0,11,0,1235,0,0,11,0,0,0,0,0
,,2020-06-13,0,0,0,0,0,0,0,0,0,0,0,11,0,1235,0,0,11,0,0,0,0,0
,,2020-06-14,0,0,0,0,0,0,0,0,0,0,0,11,0,1235,0,0,11,0,0,0,0,0
,,2020-06-15,0,0,0,0,0,0,0,0,0,0,0,11,0,1235,0,0,11,0,0,0,0,0
,,2020-06-16,0,0,8,0,0,0,0,0,0,0,0,11,0,1243,0,0,11,0,0,0,0,0
,,2020-06-17,0,0,2,0,0,0,0,0,0,0,0,11,0,1245,0,0,11,0,0,0,0,0
,,2020-06-18,0,0,5,0,0,0,0,0,0,0,0,11,0,1250,0,0,11,0,0,0,0,0
,,2020-06-19,0,0,0,0,0,0,0,0,0,0,0,11,0,1250,0,0,11,0,0,0,0,0
,,2020-06-20,0,0,0,0,0,0,0,0,0,0,0,11,0,1250,0,0,11,0,0,0,0,0
,,2020-06-21,0,0,0,0,0,0,0,0,0,0,0,11,0,1250,0,0,11,0,0,0,0,0
,,2020-06-22,0,0,0,0,0,0,0,0,0,0,0,11,0,1250,0,0,11,0,0,0,0,0
,,2020-06-23,0,0,9,0,0,0,0,0,0,0,0,11,0,1259,0,0,11,0,0,0,0,0
,,2020-06-24,0,0,6,0,0,0,0,0,0,0,0,11,0,1265,0,0,11,0,0,0,0,0
,,2020-06-25,0,0,1,0,0,0,0,0,0,0,0,11,0,1266,0,0,11,0,0,0,0,0
,,2020-06-26,0,0,6,0,0,0,0,0,0,0,0,11,0,1272,0,0,11,0,0,0,0,0
,,2020-06-27,0,0,0,0,0,0,0,0,0,0,0,11,0,1272,0,0,11,0,0,0,0,0
,,2020-06-28,0,0,0,0,0,0,0,0,0,0,0,11,0,1272,0,0,11,0,0,0,0,0
,,2020-06-29,0,0,11,0,0,0,0,0,0,0,0,11,0,1283,0,0,11,0,0,0,0,0
,,2020-06-30,0,0,6,0,0,0,0,0,0,0,0,11,0,1289,0,0,11,0,0,0,0,0
,,2020-07-01,0,0,0,0,0,0,0,0,0,0,0,11,0,1289,0,0,11,0,0,0,0,0
,,2020-07-02,0,0,5,0,0,0,0,0,0,0,0,11,0,1294,0,0,11,0,0,0,0,0
,,2020-07-03,0,0,1,0,0,0,0,0,0,0,0,11,0,1295,0,0,11,0,0,0,0,0
,,2020-07-04,0,0,0,0,0,0,0,0,0,0,0,11,0,1295,0,0,11,0,0,0,0,0
,,2020-07-05,0,0,0,0,0,0,0,0,0,0,0,11,0,1295,0,0,11,0,0,0,0,0
,,2020-07-06,0,0,11,0,0,0,0,0,0,0,0,11,0,1306,0,0,11,0,0,0,0,0
,,2020-07-07,0,0,5,0,0,0,0,0,0,0,0,11,0,1311,0,0,11,0,0,0,0,0
,,2020-07-08,0,0,6,0,0,0,0,0,0,0,0,11,0,1317,0,0,11,0,0,0,0,0
,,2020-07-09,0,0,5,0,0,0,0,0,0,0,0,11,0,1322,0,0,11,0,0,0,0,0
,,2020-07-10,0,0,5,0,0,0,0,0,0,0,0,11,0,1327,0,0,11,0,0,0,0,0
,,2020-07-11,0,0,0,0,0,0,0,0,0,0,0,11,0,1327,0,0,11,0,0,0,0,0
,,2020-07-12,0,0,0,0,0,0,0,0,0,0,0,11,0,1327,0,0,11,0,0,0,0,0
,,2020-07-13,0,0,16,0,0,0,0,0,0,0,0,11,0,1343,0,0,11,0,0,0,0,0
,,2020-07-14,0,0,13,0,0,0,0,0,0,0,0,11,0,1356,0,0,11,0,0,0,0,0
,,2020-07-15,0,0,9,0,0,0,0,0,0,0,0,11,0,1365,0,0,11,0,0,0,0,0
,,2020-07-16,0,0,11,0,0,0,0,0,0,0,0,11,0,1376,0,0,11,0,0,0,0,0
,,2020-07-17,2,0,17,0,0,0,0,0,0,0,0,13,0,1393,0,0,11,0,0,0,0,0
,,2020-07-18,0,0,0,0,0,0,0,0,0,0,0,13,0,1393,0,0,11,0,0,0,0,0
,,2020-07-19,0,0,0,0,0,0,0,0,0,0,0,13,0,1393,0,0,11,0,0,0,0,0
,,2020-07-20,0,0,24,0,0,0,0,0,0,0,0,13,0,1417,0,0,11,0,0,0,0,0
,,2020-07-21,0,0,18,0,0,0,0,0,0,0,0,13,0,1435,0,0,11,0,0,0,0,0
,,2020-07-22,0,0,15,0,0,0,0,0,0,0,0,13,0,1450,0,0,11,0,0,0,0,0
,,2020-07-23,0,0,19,0,0,0,0,0,0,0,0,13,0,1469,0,0,11,0,0,0,0,0
,,2020-07-24,1,0,19,0,0,0,0,0,0,0,0,14,0,1488,0,0,11,0,0,0,0,0
,,2020-07-25,0,0,0,0,0,0,0,0,0,0,0,14,0,1488,0,0,11,0,0,0,0,0
,,2020-07-26,0,0,0,0,0,0,0,0,0,0,0,14,0,1488,0,0,11,0,0,0,0,0
,,2020-07-27,0,0,13743,0,0,1,0,0,0,0,0,14,0,15231,0,0,12,0,0,0,0,0
,,2020-07-28,0,0,-13684,0,0,-1,0,0,0,0,0,14,0,1547,0,0,11,0,0,0,0,0
,,2020-07-29,0,0,0,0,0,0,0,0,0,0,0,14,0,1547,0,0,11,0,0,0,0,0
,,2020-07-30,0,0,41,0,0,0,0,0,0,0,0,14,0,1588,0,0,11,0,0,0,0,0
,,2020-07-31,0,0,24,0,0,0,0,0,0,0,0,14,0,1612,0,0,11,0,0,0,0,0
,,2020-08-01,0,0,0,0,0,0,0,0,0,0,0,14,0,1612,0,0,11,0,0,0,0,0
,,2020-08-02,0,0,0,0,0,0,0,0,0,0,0,14,0,1612,0,0,11,0,0,0,0,0
,,2020-08-03,0,0,0,0,0,0,0,0,0,0,0,14,0,1612,0,0,11,0,0,0,0,0
,,2020-08-04,0,0,128,0,0,0,0,0,0,0,0,14,0,1740,0,0,11,0,0,0,0,0
,,2020-08-05,0,0,29,0,0,0,0,0,0,0,0,14,0,1769,0,0,11,0,0,0,0,0
,,2020-08-06,0,0,23,0,0,2,0,0,0,0,0,14,0,1792,0,0,13,0,0,0,0,0
,,2020-08-07,1,0,44,0,0,0,0,0,0,0,0,15,0,1836,0,0,13,0,0,0,0,0
,,2020-08-08,0,0,0,0,0,0,0,0,0,0,0,15,0,1836,0,0,13,0,0,0,0,0
,,2020-08-09,0,0,0,0,0,0,0,0,0,0,0,15,0,1836,0,0,13,0,0,0,0,0
,,2020-08-10,0,0,125,0,0,0,0,0,0,0,0,15,0,1961,0,0,13,0,0,0,0,0
,,2020-08-11,0,0,56,0,0,0,0,0,0,0,0,15,0,2017,0,0,13,0,0,0,0,0
,,2020-08-12,0,0,45,0,0,0,0,0,0,0,0,15,0,2062,0,0,13,0,0,0,0,0
,,2020-08-13,0,0,50,0,0,1,0,0,0,0,0,15,0,2112,0,0,14,0,0,0,0,0
,,2020-08-14,0,0,44,0,0,0,0,0,0,0,0,15,0,2156,0,0,14,0,0,0,0,0
,,2020-08-15,0,0,0,0,0,0,0,0,0,0,0,15,0,2156,0,0,14,0,0,0,0,0
,,2020-08-16,0,0,0,0,0,0,0,0,0,0,0,15,0,2156,0,0,14,0,0,0,0,0
,,2020-08-17,0,0,0,0,0,1,0,0,0,0,0,15,0,2156,0,0,15,0,0,0,0,0
,,2020-08-18,0,0,0,0,0,0,0,0,0,0,0,15,0,2156,0,0,15,0,0,0,0,0
,,2020-08-19,0,0,114,0,0,0,0,0,0,0,0,15,0,2270,0,0,15,0,0,0,0,0
,,2020-08-20,0,0,28,0,0,0,0,0,0,0,0,15,0,2298,0,0,15,0,0,0,0,0
,,2020-08-21,0,0,0,0,0,0,0,0,0,0,0,15,0,2298,0,0,15,0,0,0,0,0
,,2020-08-22,0,0,0,0,0,0,0,0,0,0,0,15,0,2298,0,0,15,0,0,0,0,0
,,2020-08-23,0,0,0,0,0,0,0,0,0,0,0,15,0,2298,0,0,15,0,0,0,0,0
,,2020-08-24,0,0,0,0,0,0,0,0,0,0,0,15,0,2298,0,0,15,0,0,0,0,0
,,2020-08-25,0,0,125,0,0,0,0,0,0,0,0,15,0,2423,0,0,15,0,0,0,0,0
,,2020-08-26,0,0,36,0,0,0,0,0,0,0,0,15,0,2459,0,0,15,0,0,0,0,0
,,2020-08-27,0,0,0,0,0,0,0,0,0,0,0,15,0,2459,0,0,15,0,0,0,0,0
,,2020-08-28,0,0,0,0,0,0,0,0,0,0,0,15,0,2459,0,0,15,0,0,0,0,0
,,2020-08-29,0,0,0,0,0,0,0,0,0,0,0,15,0,2459,0,0,15,0,0,0,0,0
,,2020-08-30,0,0,0,0,0,0,0,0,0,0,0,15,0,2459,0,0,15,0,0,0,0,0
,,2020-08-31,0,0,103,0,0,0,0,0,0,0,0,15,0,2562,0,0,15,0,0,0,0,0
,,2020-09-01,0,0,41,0,0,0,0,0,0,0,0,15,0,2603,0,0,15,0,0,0,0,0
,,2020-09-02,0,0,40,0,0,0,0,0,0,0,0,15,0,2643,0,0,15,0,0,0,0,0
,,2020-09-03,0,0,0,0,0,0,0,0,0,0,0,15,0,2643,0,0,15,0,0,0,0,0
,,2020-09-04,0,0,0,0,0,0,0,0,0,0,0,15,0,2643,0,0,15,0,0,0,0,0
,,2020-09-05,0,0,0,0,0,0,0,0,0,0,0,15,0,2643,0,0,15,0,0,0,0,0
,,2020-09-06,0,0,0,0,0,0,0,0,0,0,0,15,0,2643,0,0,15,0,0,0,0,0
,,2020-09-07,0,0,0,0,0,0,0,0,0,0,0,15,0,2643,0,0,15,0,0,0,0,0
,,2020-09-08,0,0,0,0,0,0,0,0,0,0,0,15,0,2643,0,0,15,0,0,0,0,0
,,2020-09-09,0,0,0,0,0,0,0,0,0,0,0,15,0,2643,0,0,15,0,0,0,0,0
,,2020-09-10,0,0,0,0,0,0,0,0,0,0,0,15,0,2643,0,0,15,0,0,0,0,0
,,2020-09-11,0,0,240,0,0,0,0,0,0,0,0,15,0,2883,0,0,15,0,0,0,0,0
,,2020-09-12,0,0,0,0,0,0,0,0,0,0,0,15,0,2883,0,0,15,0,0,0,0,0
,,2020-09-13,0,0,0,0,0,0,0,0,0,0,0,15,0,2883,0,0,15,0,0,0,0,0
,,2020-09-14,0,0,0,0,0,0,0,0,0,0,0,15,0,2883,0,0,15,0,0,0,0,0
,,2020-09-15,0,0,0,0,0,0,0,0,0,0,0,15,0,2883,0,0,15,0,0,0,0,0
,,2020-09-16,0,0,0,0,0,0,0,0,0,0,0,15,0,2883,0,0,15,0,0,0,0,0
,,2020-09-17,0,0,0,0,0,0,0,0,0,0,0,15,0,2883,0,0,15,0,0,0,0,0
,,2020-09-18,0,0,0,0,0,0,0,0,0,0,0,15,0,2883,0,0,15,0,0,0,0,0
,,2020-09-19,0,0,0,0,0,0,0,0,0,0,0,15,0,2883,0,0,15,0,0,0,0,0
,,2020-09-20,0,0,0,0,0,0,0,0,0,0,0,15,0,2883,0,0,15,0,0,0,0,0
,,2020-09-21,0,0,166,0,0,0,0,0,0,0,0,15,0,3049,0,0,15,0,0,0,0,0
,,2020-09-22,0,0,0,0,0,0,0,0,0,0,0,15,0,3049,0,0,15,0,0,0,0,0
,,2020-09-23,0,0,0,0,0,0,0,0,0,0,0,15,0,3049,0,0,15,0,0,0,0,0
,,2020-09-24,0,0,0,0,0,0,0,0,0,0,0,15,0,3049,0,0,15,0,0,0,0,0
,,2020-09-25,0,0,0,0,0,0,0,0,0,0,0,15,0,3049,0,0,15,0,0,0,0,0
,,2020-09-26,0,0,0,0,0,0,0,0,0,0,0,15,0,3049,0,0,15,0,0,0,0,0
,,2020-09-27,0,0,0,0,0,0,0,0,0,0,0,15,0,3049,0,0,15,0,0,0,0,0
,,2020-09-28,0,0,0,0,0,0,0,0,0,0,0,15,0,3049,0,0,15,0,0,0,0,0
,,2020-09-29,0,0,293,0,0,0,0,0,0,0,0,15,0,3342,0,0,15,0,0,0,0,0
,,2020-09-30,0,0,0,0,0,0,0,0,0,0,0,15,0,3342,0,0,15,0,0,0,0,0
,,2020-10-01,0,0,0,0,0,0,0,0,0,0,0,15,0,3342,0,0,15,0,0,0,0,0
,,2020-10-02,0,0,0,0,0,0,0,0,0,0,0,15,0,3342,0,0,15,0,0,0,0,0
,,2020-10-03,0,0,0,0,0,0,0,0,0,0,0,15,0,3342,0,0,15,0,0,0,0,0
,,2020-10-04,0,0,0,0,0,0,0,0,0,0,0,15,0,3342,0,0,15,0,0,0,0,0
,,2020-10-05,0,0,0,0,0,0,0,0,0,0,0,15,0,3342,0,0,15,0,0,0,0,0
,,2020-10-06,0,0,0,0,0,0,0,0,0,0,0,15,0,3342,0,0,15,0,0,0,0,0
